YTD_return,company,symbol
0.18%,ARCHER DANIELS MIDLAND CO,ADM
0.12%,SEAGATE TECHNOLOGY HOLDINGS,STX
0.01%,REGENCY CENTERS CORP,REG
-0.01%,SNAP ON INC,SNA
-0.03%,TARGA RESOURCES CORP,TRGP
-0.05%,BROWN FORMAN CORP CLASS B,BF.B
-0.11%,FORTIVE CORP,FTV
-0.18%,WILLIAMS COS INC,WMB
-0.33%,AVERY DENNISON CORP,AVY
-0.47%,CONAGRA BRANDS INC,CAG
-0.49%,AMETEK INC,AME
-0.54%,TEXAS INSTRUMENTS INC,TXN
-0.60%,INTEL CORP,INTC
-0.62%,OMNICOM GROUP,OMC
-0.69%,NEWS CORP   CLASS A,NWSA
-0.77%,LENNOX INTERNATIONAL INC,LII
-0.93%,TYLER TECHNOLOGIES INC,TYL
-0.97%,HUMANA INC,HUM
-1.03%,FIRSTENERGY CORP,FE
-1.15%,NORTHERN TRUST CORP,NTRS
-1.23%,EQUITY RESIDENTIAL,EQR
-1.28%,JOHNSON CONTROLS INTERNATION,JCI
-1.28%,FRANKLIN RESOURCES INC,BEN
-1.37%,TEXTRON INC,TXT
-1.38%,PULTEGROUP INC,PHM
-1.39%,LOCKHEED MARTIN CORP,LMT
-1.45%,BIOGEN INC,BIIB
-1.45%,EVEREST GROUP LTD,EG
-1.49%,VERALTO CORP,VLTO
-1.64%,AVALONBAY COMMUNITIES INC,AVB
-1.70%,C.H. ROBINSON WORLDWIDE INC,CHRW
-1.71%,MONOLITHIC POWER SYSTEMS INC,MPWR
-1.77%,ARCH CAPITAL GROUP LTD,ACGL
-1.77%,CARRIER GLOBAL CORP,CARR
-1.79%,LOWE S COS INC,LOW
-1.86%,BUNGE GLOBAL SA,BG
-1.88%,CENTENE CORP,CNC
-1.93%,EQUIFAX INC,EFX
-1.94%,S+P GLOBAL INC,SPGI
-2.08%,MATCH GROUP INC,MTCH
-2.10%,BALL CORP,BALL
-2.16%,ADOBE INC,ADBE
-2.32%,MARATHON PETROLEUM CORP,MPC
-2.60%,CDW CORP/DE,CDW
-2.65%,TJX COMPANIES INC,TJX
-2.65%,GARTNER INC,IT
